Namespace,Application,Replicas,CPU Limits,Memory Limits,CPU Requests,Memory Requests,HPA Max,HPA Min,Target CPU utilization,Current CPU Utilization,Max Surge
cdbp0-prep,profiloclientelogin-v1,2,500m,1536Mi,10m,1535Mi,,,,,50%
cdbp0-prep,promemoria-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,rapporticliente-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,reward-v1,2,500m,1536Mi,10m,1535Mi,,,,,50%
cdbp0-prep,ricariche-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,rubrica-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,salvadanaio-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,scandoc-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,sessionmanager-v1,2,2,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,smartsave-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,trading-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,walletassicurativo-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,westernunion-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,wishlist-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,xmeconto-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,xmedindi-v1,2,1,4Gi,10m,4094Mi,,,,,50%
cdbp0-prep,xmedindibatch-v1,2,500m,1536Mi,10m,1535Mi,,,,,50%
cdbp0-prod,anagrafiche-v1,6,1,4Gi,330m,4094Mi,8,6,90,29,50%
cdbp0-prod,antiriciclaggio-v1,2,1,3584Mi,120m,3580Mi,3,2,90,50,50%
cdbp0-prod,applepay-v1,3,1500m,3584Mi,120m,3580Mi,3,2,90,90,50%
cdbp0-prod,architettura-v1,5,2,4Gi,800m,4094Mi,5,5,90,97,50%
cdbp0-prod,archiviodoc-v1,30,1500m,30G,800m,30G,60,30,90,32,50%
cdbp0-prod,assegni-v1,2,1500m,3584Mi,120m,3580Mi,3,2,90,56,50%
cdbp0-prod,autorizzazioni-v1,3,1500m,3584Mi,120m,3580Mi,4,3,90,61,50%
cdbp0-prod,avvisi-v1,25,4,5Gi,3200m,5118Mi,30,25,99,40,50%
cdbp0-prod,banche-v1,3,1,3584Mi,120m,3580Mi,3,2,90,67,50%
cdbp0-prod,bonifico-v1,15,1500m,6912Mi,400m,6911Mi,18,15,90,64,50%
cdbp0-prod,bonus-v1,2,1,3584Mi,150m,3580Mi,3,2,90,40,50%
cdbp0-prod,bridge-cdbp0-soap2rest-v1,3,500m,2Gi,450m,2045Mi,4,3,90,1,50%
cdbp0-prod,bridge-md-rest2host-v1,2,1,2Gi,450m,2045Mi,3,2,90,5,50%
cdbp0-prod,cardless-v1,3,1500m,4Gi,155m,4094Mi,4,3,90,86,50%
cdbp0-prod,carte-v1,12,1500m,4608Mi,1,4606Mi,16,12,85,43,50%
cdbp0-prod,cdil0-cache-v1,24,8,9Gi,3,9214Mi,,,,,0
cdbp0-prod,commons-v1,13,1500m,4Gi,650m,4094Mi,18,13,90,64,50%
cdbp0-prod,compare-pu-ndce-v1,4,4,4Gi,500m,4Gi,4,3,90,117,50%
cdbp0-prod,contocorrente-v1,7,1500m,4Gi,600m,4094Mi,9,7,90,48,50%
cdbp0-prod,core-antifrodi-v1,2,500m,2Gi,50m,2045Mi,3,2,90,12,50%
cdbp0-prod,core-autorizzazioniterzeparti-v1,2,500m,2Gi,50m,2045Mi,3,2,90,7,50%
cdbp0-prod,core-comparegenerator-v1,8,500m,4Gi,450m,2045Mi,10,8,90,27,50%
cdbp0-prod,core-infoaccounts-v1,2,500m,2Gi,50m,2045Mi,3,2,90,10,50%
cdbp0-prod,core-infoaccounts-v2,2,500m,2Gi,50m,2045Mi,3,2,90,7,50%
cdbp0-prod,core-infoaccounts-v3,2,500m,2Gi,450m,2045Mi,3,2,90,2,50%
cdbp0-prod,core-md-mq2kafka-v1,3,500m,2Gi,450m,2045Mi,4,3,90,3,50%
cdbp0-prod,core-md-v1,3,500m,2Gi,450m,2045Mi,4,3,90,4,50%
cdbp0-prod,core-ndce-fondi-v1,3,500m,2Gi,50m,2045Mi,4,3,90,7,50%
cdbp0-prod,core-ndce-limiti-v1,3,500m,2Gi,83m,2045Mi,4,3,90,10,50%
cdbp0-prod,core-nuovobt-v1,2,500m,2Gi,30m,2045Mi,3,2,90,11,50%
cdbp0-prod,core-profilolegacy-fol-v1,2,500m,2Gi,50m,2045Mi,3,2,90,20,50%
cdbp0-prod,cruscottominori-v1,3,1,4Gi,125m,4094Mi,3,2,90,69,50%
cdbp0-prod,demoapp-v1,2,1,4Gi,120m,4094Mi,3,2,90,49,50%
cdbp0-prod,digitalcollaboration-v1,4,2,4Gi,135m,4094Mi,6,4,90,46,50%
cdbp0-prod,digitalwallet-v1,10,3,4Gi,350m,4094Mi,13,10,90,41,50%
cdbp0-prod,domiciliazioni-v1,4,1500m,4Gi,255m,4094Mi,5,4,90,45,50%
cdbp0-prod,extracontent-v1,12,2,4Gi,600m,4094Mi,15,12,90,61,50%
cdbp0-prod,f24-v1,6,1,4Gi,202m,4094Mi,11,6,90,62,50%
cdbp0-prod,filialevirtuale-v1,12,1,4Gi,600m,4094Mi,16,12,90,14,50%
cdbp0-prod,firma-v1,2,2,4Gi,250m,4094Mi,3,2,90,31,50%
cdbp0-prod,globalposition-v1,23,4,6Gi,1,6140Mi,23,23,90,12,50%
cdbp0-prod,globalpositionfa-v1,6,2,4Gi,150m,4094Mi,9,6,90,47,50%
cdbp0-prod,globalpositionpg-v1,6,4,6Gi,131m,6140Mi,6,4,90,95,50%
cdbp0-prod,guestarea-v1,2,1,4Gi,130m,4094Mi,3,2,90,37,50%
cdbp0-prod,hazelcast-management-center,1,2,9Gi,500m,9Gi,,,,,50%
cdbp0-prod,iddigitale-v1,3,1,4Gi,130m,4094Mi,4,3,90,43,50%
cdbp0-prod,interactiondb-v1,10,3,4Gi,300m,4094Mi,13,10,90,50,50%
cdbp0-prod,inv-mercatiquotazioni-v1,12,4,5Gi,1500m,5115Mi,16,12,90,23,50%
cdbp0-prod,inv-negoziazione-v1,12,4,5Gi,1,5115Mi,16,12,90,11,50%
cdbp0-prod,inv-newsfinanza-v1,4,3,5Gi,1,5115Mi,6,4,90,17,50%
cdbp0-prod,inv-patrimonio-v1,12,3,5Gi,1,5115Mi,16,12,90,20,50%
cdbp0-prod,jiffy-v1,6,2,4Gi,350m,4094Mi,8,6,90,29,50%
cdbp0-prod,listaoperazioni-v1,27,4,6Gi,1500m,6140Mi,27,27,90,46,50%
cdbp0-prod,listaoperazionifa-v1,10,1,4Gi,500m,4094Mi,20,10,90,21,50%
cdbp0-prod,listaoperazionipg-v1,6,4,6Gi,131m,6140Mi,6,4,90,288,50%
cdbp0-prod,masterpass-v1,2,2,3Gi,165m,3070Mi,3,2,90,37,50%
cdbp0-prod,menu-v1,40,4,4Gi,1400m,4094Mi,40,40,90,43,50%
cdbp0-prod,migrazionenk2mk-v1,2,1,4Gi,500m,4094Mi,3,2,90,12,50%
cdbp0-prod,mobilecommons-v1,8,2,4Gi,200m,4094Mi,8,6,90,102,50%
cdbp0-prod,monetaattiva-v1,2,500m,2Gi,135m,2045Mi,3,2,90,54,50%
cdbp0-prod,motorericerca-v1,8,1,4Gi,195m,4094Mi,10,5,90,181,50%
cdbp0-prod,movepay-v1,2,2,4Gi,142m,4094Mi,3,2,90,41,50%
cdbp0-prod,ndce-alerting-contacts-v1,3,500m,2Gi,50m,2045Mi,4,3,90,7,50%
cdbp0-prod,ndce-alerting-dashboard-app-v1,8,500m,2Gi,83m,2045Mi,11,8,90,35,50%
cdbp0-prod,ndce-alerting-dashboard-cache-v1,4,500m,2Gi,83m,2045Mi,,,,,0
cdbp0-prod,ndce-alerting-dashboard-v1,3,500m,2Gi,50m,2045Mi,4,3,90,13,50%
cdbp0-prod,ndce-autorizzazioniterzeparti-v1,2,500m,2Gi,50m,2045Mi,3,2,90,10,50%
cdbp0-prod,ndce-bridgetracingbfd-v1,2,500m,2Gi,450m,2045Mi,3,2,70,4,50%
cdbp0-prod,ndce-bridgetracingibad-v1,2,500m,2Gi,83m,2045Mi,2,2,90,115,50%
cdbp0-prod,ndce-cruscottolimiti-v1,2,500m,2Gi,30m,2045Mi,3,2,90,11,50%
cdbp0-prod,ndce-documentipersonali-v1,2,500m,2Gi,50m,2045Mi,3,2,90,7,50%
cdbp0-prod,ndce-errormanager-v1,2,500m,2Gi,450m,2045Mi,3,2,90,0,50%
cdbp0-prod,ndce-googlepay-app-v1,2,500m,2Gi,30m,2045Mi,3,2,90,13,50%
cdbp0-prod,ndce-identificazionecustomer-v1,2,500m,2Gi,50m,2045Mi,3,2,90,9,50%
cdbp0-prod,ndce-previdenza-v1,2,500m,2Gi,450m,2045Mi,3,2,90,,50%
cdbp0-prod,ndce-sessionmanager-v1,60,1500m,3Gi,450m,3070Mi,60,60,90,84,50%
cdbp0-prod,ndce-trackingsinistri-v1,2,500m,2Gi,30m,2045Mi,3,2,90,16,50%
cdbp0-prod,ndce-valoreinsieme-v1,2,500m,2Gi,50m,2045Mi,3,2,90,10,50%
cdbp0-prod,ndce-walkme-v1,2,500m,3Gi,83m,3070Mi,3,2,90,50,50%
cdbp0-prod,ndce-xmesalute-v1,2,500m,2Gi,30m,2045Mi,3,2,90,15,50%
cdbp0-prod,notification-v1,12,4,4Gi,700m,4094Mi,15,12,90,34,50%
cdbp0-prod,opricorrenti-v1,3,2,4Gi,150m,4094Mi,4,3,90,49,50%
cdbp0-prod,pagamenti-v1,6,1500m,4Gi,400m,4094Mi,8,6,90,83,50%
cdbp0-prod,parlaconnoi-v1,6,1,4Gi,500m,4094Mi,8,6,90,62,50%
cdbp0-prod,paygo-v1,2,2,4Gi,150m,4094Mi,3,2,90,42,50%
cdbp0-prod,pendingprocesslist-v1,14,1,4Gi,400m,4094Mi,32,14,90,65,50%
cdbp0-prod,pfm-v1,32,4,4224Mi,1300m,4222Mi,32,32,90,53,50%
cdbp0-prod,prestiti-v1,6,1,4Gi,150m,4094Mi,8,6,90,37,50%
cdbp0-prod,price-v1,2,1,4Gi,135m,4094Mi,3,2,90,34,50%
cdbp0-prod,profilocliente-v1,16,4,4Gi,1900m,4094Mi,20,16,90,36,50%
cdbp0-prod,profiloclientelogin-v1,10,2,3Gi,800m,3070Mi,14,10,90,60,50%
cdbp0-prod,promemoria-v1,5,1,4Gi,140m,4094Mi,5,3,90,257,50%
cdbp0-prod,rapporticliente-v1,3,1,4Gi,120m,4094Mi,4,3,90,48,50%
cdbp0-prod,reward-v1,2,500m,4Gi,131m,4094Mi,3,2,90,52,50%
cdbp0-prod,ricariche-v1,4,2,4Gi,520m,4094Mi,6,4,90,16,50%
cdbp0-prod,rubrica-v1,8,3,4Gi,1200m,4094Mi,11,8,90,55,50%
cdbp0-prod,salvadanaio-v1,3,1,4Gi,216m,4094Mi,3,2,90,81,50%
cdbp0-prod,scandoc-v1,10,1,4Gi,100m,4094Mi,10,10,90,62,50%
cdbp0-prod,sessionmanager-v1,60,6,8Gi,6,8190Mi,60,60,95,24,34%
cdbp0-prod,smartsave-v1,0,1,4Gi,900m,4094Mi,,,,,50%
cdbp0-prod,trading-v1,2,2,4Gi,150m,4094Mi,3,2,90,39,50%
cdbp0-prod,walletassicurativo-v1,2,1,4Gi,130m,4094Mi,3,2,90,51,50%
cdbp0-prod,westernunion-v1,2,1,4Gi,120m,4094Mi,3,2,90,45,50%
cdbp0-prod,wishlist-v1,3,1,4Gi,130m,4094Mi,3,2,90,81,50%
cdbp0-prod,xmeconto-v1,3,2,4Gi,200m,4094Mi,4,3,90,35,50%
cdbp0-prod,xmedindi-v1,2,2,4Gi,150m,4094Mi,3,2,90,51,50%
cdbp0-prod,xmedindibatch-v1,3,1,2Gi,100m,2046Mi,3,2,90,68,50%
gwib0-prep,core-esenzione-tracciatura-sca-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,core-security-cache-handler-v1,3,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,core-security-cache-v1,3,500m,1536Mi,100m,1535Mi,,,,,0
gwib0-prep,core-security-logo-polling-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,core-security-session-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,core-security-wfmfrode-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,core-security-wfmlogin-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,core-security-wfmnofrode-v1,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prep,hazelcast-management-center,1,500m,1536Mi,100m,1535Mi,,,,,50%
gwib0-prod,core-esenzione-tracciatura-sca-v1,2,500m,1536Mi,50m,1535Mi,3,2,70,9,50%
gwib0-prod,core-security-cache-handler-v1,6,1,4Gi,500m,1535Mi,8,6,90,44,50%
gwib0-prod,core-security-cache-v1,10,1,4Gi,500m,4095Mi,10,10,90,7,0
gwib0-prod,core-security-logo-polling-v1,2,500m,1536Mi,100m,1535Mi,3,2,90,5,50%
gwib0-prod,core-security-session-v1,8,2,4Gi,1,1535Mi,8,8,90,10,50%
gwib0-prod,core-security-wfmfrode-v1,6,1,4Gi,100m,1535Mi,7,6,70,13,50%
gwib0-prod,core-security-wfmlogin-v1,34,1,4G,1,4G,,,,,50%
gwib0-prod,core-security-wfmnofrode-v1,6,1,4Gi,100m,1535Mi,7,6,70,5,50%
gwib0-prod,hazelcast-management-center,1,500m,4Gi,450m,4094Mi,,,,,50%
isp-logging,kb-dmttoisp001p-001,1,2,2Gi,500m,1Gi,,,,,25%
isp-logging,kibana-cdil0-deployment,1,2,2Gi,500m,1Gi,,,,,25%
isp-logging,nginx-cdil0-deployment,2,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-deployment,0,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-dmttoisp001p-deployment,4,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-eck-iaas-deployment,4,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-eck-ocap0-deployment,4,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-eck-ocp-prod-deployment,4,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-eck-ocp-prod-es-deployment,4,500m,512Mi,10m,50Mi,,,,,25%
isp-logging,nginx-eck-ocp-prod-redirect-deployment,4,500m,512Mi,10m,50Mi,,,,,25%
